Title,Link,Year,Abstract
Target-guided emotion-aware chat machine,https://dl.acm.org/doi/abs/10.1145/3456414,2021,desirable to develop an emotion-aware chatbot that is capable of  emotional chat machine  (ECM) that is capable of generating emotional responses according to a pre-defined emotion
Surrealdriver: Designing generative driver agent simulation framework in urban contexts based on large language model,https://arxiv.org/abs/2309.13193,2023,"agent behaviors, which impede the transfer of simulation outcomes to the real world. In this  paper, we propose a generative driver agent  to develop a ‘coach agent’ module, which can"
RDguru: a conversational intelligent agent for rare diseases,https://ieeexplore.ieee.org/abstract/document/10684379/,2024,"This study introduces RDguru, a conversational intelligent agent leveraging the LangChain  framework and powered by GPT-3.5turbo. RDguru offers a comprehensive suite of function"
Conversational and generative artificial intelligence and human–chatbot interaction in education and research,https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.13522,2025,"This study explores the scientific literature landscape on conversational chatbots, generative  AI (GAI), and chatbot–human interaction in education and research: a multidisciplinary"
Study on emotion recognition and companion Chatbot using deep neural network,https://link.springer.com/article/10.1007/s11042-020-08841-6,2020,"robots to recognize the emotion in voice and respond based on the emotion, like chatting  or  To recognize the emotion in voice, first is to know what emotion is. Emotion is the"
Effects of emotional expressiveness on voice chatbot interactions,https://dl.acm.org/doi/abs/10.1145/3543829.3543840,2022,"In the current study, a voice chatbot designed for having a  impact of emotional expressiveness  in its text-to-speech (TTS) output. We parametrically manipulated the degree of emotional"
Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,https://dl.acm.org/doi/abs/10.1145/3544548.3581109,2023,"To explore this challenge, this paper describes the design of a communitybased conversational  storytelling agent (CSA) to document digital stories of housing insecurity. Building on"
Waitgpt: Monitoring and steering conversational llm agent in data analysis with on-the-fly code visualization,https://dl.acm.org/doi/abs/10.1145/3654777.3676374,2024,"over LLMs, moving beyond a standard chatbot framework or basic API invocations. Similar  to  We attend to an emerging scenario of conversational data analysis with LLMs, where we"
High accuracy conversational AI chatbot using deep recurrent neural networks based on BiLSTM model,https://ieeexplore.ieee.org/abstract/document/9332074/,2020,"Simply put, a chatbot is a simple robot form in the shape of a  A chatbot is a software tool  that interacts with users on a certain topic or in a specific domain in a natural, conversational"
The promise and peril of generative AI,https://www.nature.com/articles/d41586-023-00340-6,2023,"It is one of the much-hyped generative AI chatbot-style tools that  ‘How an AI chatbot edits  a manuscript’ at the end of this article).  Other generative AIs can produce images, or sounds."
An evaluation of generative pre-training model-based therapy chatbot for caregivers,https://arxiv.org/abs/2107.13115,2021,"chatbot using the generative-based model, we begin with assessing the basic qualities of  speech and conversation measured through the meta-information of the chatbot responses."
Er-chat: A text-to-text open-domain dialogue framework for emotion regulation,https://ieeexplore.ieee.org/abstract/document/9833325/,2022,proposes Emotion Regulation Chat (ER-Chat) as an end-to-end dialogue framework for  emotion  This paper proposes Emotion Regulation Chat (ER-Chat) as an open-domain dialogue
Applying Ethical AI Frameworks in practice: Evaluating conversational AI chatbot solutions,https://www.researchgate.net/profile/Suzanne-Atkins/publication/357732154_Applying_Ethical_AI_Frameworks_in_practice_Evaluating_conversational_AI_chatbot_solutions/links/61e01605323a2268f9a0de99/Applying-Ethical-AI-Frameworks-in-practice-Evaluating-conversational-AI-chatbot-solutions.pdf,2021,Microso ’s conversational AI guidelines are the only ones considered in this study that were  specifically designed for systems such as chatbots. They are intended to assist in designing
Emotional reactions and likelihood of response to questions designed for a mental health chatbot among adolescents: experimental study,https://mhealth.jmir.org/2021/1/e24343/,2021,"distress is the conversational agent, otherwise known as a chatbot. Further  emotional  reactions and likelihood of responding to questions that could be posed by a mental health chatbot"
Bots with feelings: Should AI agents express positive emotion in customer service?,https://pubsonline.informs.org/doi/abs/10.1287/isre.2022.1179,2023,We propose that positive emotion expressed by an AI agent (versus a human employee) is  less effective in facilitating service evaluations because of a heightened level of expectation–
TERG: topic-aware emotional response generation for chatbot,https://ieeexplore.ieee.org/abstract/document/9206719/,2020,"Emotion expression is an important inherent attribute in the dialogue system. In recent years  an emotion expression ability. The studies [1], [2] have proved that the emotional chatbot can"
Systematic review: Trust-building factors and implications for conversational agent design,https://www.tandfonline.com/doi/abs/10.1080/10447318.2020.1807710,2021,"In addition to “trust” and “conversational agent”, we added keywords that have been found  as antecedents or synonyms of trust (eg, “reliance” and “dependence”). Further, we added"
The appropriation of conversational AI in the workplace: A taxonomy of AI chatbot users,https://www.sciencedirect.com/science/article/pii/S0268401222001025,2023,"conversational AI, in particular AI chatbot, as one type of workplace AI application to answer  the research question: how do employees experience the use of an AI chatbot  the AI chatbot"
"Generative agent simulations of 1,000 people",https://arxiv.org/abs/2411.10109,2024,"We present a generative agent architecture that simulates more than 1,000 real individuals   -pronged access system to the resulting agent bank: open access to aggregated responses"
Designing an Intelligent Chatbot with Deep Learning: Leveraging FNN Algorithm for Conversational Agents to Improve the Chatbot Performance,https://link.springer.com/chapter/10.1007/978-981-97-4496-1_11,2024,This paper surveys recent literature on chat models and concepts needed for building  intelligent conversational agents based on deep learning models and proposes a functional
Zhorai: Designing a conversational agent for children to explore machine learning concepts,https://ojs.aaai.org/index.php/AAAI/article/view/7061,2020,"Also, we would like to do a future iteration of this study where we compare the effectiveness  of the conversational agent interface to another interface, ie a text-based interface. Finally, in"
Chatbots and mental health: Insights into the safety of generative AI,https://myscp.onlinelibrary.wiley.com/doi/abs/10.1002/jcpy.1393,2024,Generative AI holds the potential for vast improvements in  The architecture of generative  AI implies that these models  a conversation with a generative AI chatbot. Over 6 weeks of
The impact of chatbot conversational skill on engagement and perceived humanness,https://www.tandfonline.com/doi/abs/10.1080/07421222.2020.1790204,2020,"conversational agent, we constructed a custom chat  conversational agent asked the user  to describe the images. CAs were developed with the aforementioned levels of conversational"
Chip-chat: Challenges and opportunities in conversational hardware design,https://ieeexplore.ieee.org/abstract/document/10299874/,2023,"Given that these ‘conversational’ LLMs perform best when used interactively, we perform a   a Skywater 130nm shuttle, meaning that this ‘Chip-Chat’ resulted in what we believe to be the"
Towards user-centric guidelines for chatbot conversational design,https://www.tandfonline.com/doi/abs/10.1080/10447318.2022.2118244,2024,text-based chatbot conversational practices alongside  chatbot conversational design. The  SLR resulted in 40 selected studies that were reviewed and coded into a set of conversational
Building a conversational chatbot using machine learning: Towards a more intelligent healthcare application,https://www.igi-global.com/chapter/building-a-conversational-chatbot-using-machine-learning/320385,2023,"of a smart chatbot using AI and ML for healthcare applications. The main goal of the chatbot  is to  and algorithms used in the design of the chatbot, as well as its potential impact on the"
A literature review on pedagogical conversational agent adaptation,https://www.researchgate.net/profile/Ricarda-Schlimbach/publication/361228223_A_Literature_Review_on_Pedagogical_Conversational_Agent_Adaptation/links/62a45e61a3fe3e3df86dc199/A-Literature-Review-on-Pedagogical-Conversational-Agent-Adaptation.pdf,2022,Conversational agents (CAs)—software systems emulating conversations with humans  through natural language—have been widely used to communicate and collaborate with
“I felt her company”: A qualitative study on factors affecting closeness and emotional support seeking with an embodied conversational agent,https://www.sciencedirect.com/science/article/pii/S1071581921001890,2022,Additionally relevant to emotional support applications is the effect of agent features on   adapted by adding program errors and emotional intelligence as agent factors in the model.
Too human and not human enough: A grounded theory analysis of mental health harms from emotional dependence on the social chatbot Replika,https://journals.sagepub.com/doi/abs/10.1177/14614448221142007,2024,"chatbot (SC) applications offering social companionship and basic therapy tools have grown  in popularity for emotional We find evidence of harms, facilitated via emotional dependence"
A conversational agent framework with multi-modal personality expression,https://dl.acm.org/doi/abs/10.1145/3439795,2021,"• We introduce a comprehensive conversational agent frame in addition to updating  emotional facial expressions given  Additionally, we establish affinities between emotional facial"
Conceptualising a Library Chatbot using Open Source Conversational Artificial Intelligence.,https://pdfs.semanticscholar.org/2792/ad00529ae0277447561c8a6c8dbc1d02ac74.pdf,2020,"conversational software platforms. The purpose of the paper is to conceptualise a novel   chatbot using a recently developed, artificial intelligence-powered open source conversational"
Differences in interactions with a conversational agent,https://www.mdpi.com/1660-4601/17/9/3189,2020,"Recent technological advances introduced conversational  participants who experienced a  conversational agent in a real- Compared to younger adults, older adults used the agent more"
Enhancing chatbot effectiveness: The role of anthropomorphic conversational styles and time orientation,https://www.sciencedirect.com/science/article/pii/S0148296320308808,2021,understanding how conversational style can be factored into the design of chatbot agents to   focusing on how consumers evaluate conversational styles of chatbot agents on the social
Understanding conversational and expressive style in a multimodal embodied conversational agent,https://dl.acm.org/doi/abs/10.1145/3411764.3445708,2021,"shown that to attain conversational clarity, people  conversational agent (ECA) capable of  fairly free-form, multi-turn dialogue. Inspired by previous work on auditory-only conversational"
Emotion guru: a smart emotion tracking application with AI conversational agent for exploring and preventing depression,https://ieeexplore.ieee.org/abstract/document/9674993/,2021,study proposed a solution by promoting emotional intelligence. The solution is an emotion  tracking application that includes an AI conversational agent who will talk to users when they
Medbot: Conversational artificial intelligence powered chatbot for delivering tele-health after covid-19,https://ieeexplore.ieee.org/abstract/document/9137944/,2020,"These are some vital elements that are considered while dealing with designing the CUI  for our conversational agent, like look and feel of the chatbot, notifications to engage its users,"
"Evidence of human-level bonds established with a digital conversational agent: cross-sectional, retrospective observational study",https://formative.jmir.org/2021/5/e27868,2021,"(CBT)–based conversational agent would report therapeutic  digital interventions that do not  use a conversational agent.  based, fully automated conversational agent (Woebot) between"
A systematic review A Conversational interface agent for the export business acceleration,https://lgurjcsit.lgu.edu.pk/lgurjcsit/article/view/430,2023,of the evolution of conversational agents from a  conversational agent types based on the  export business acceleration interface. This paper also identifies the challenges conversational
A domain-specific generative chatbot trained from little data,https://www.mdpi.com/2076-3417/10/7/2221,2020,"In this research, we presented the first generative chatbot results obtained on very small  domain-specific datasets for English and morphologically complex Lithuanian languages."
Graph-based conversational AI: Towards a distributed and collaborative multi-chatbot approach for museums,https://www.mdpi.com/2076-3417/11/19/9160,2021,"The developers designed a friendly, smart and delightful conversational chatbot, that is able  to  concept: “For an agent that’s meant to be exploratory and conversational, if it does not"
Conversational artificial intelligence in psychotherapy: a new therapeutic tool or agent?,https://www.tandfonline.com/doi/abs/10.1080/15265161.2022.2048739,2023,Conversational artificial intelligence (CAI) presents many opportunities in the psychotherapeutic  landscape—such as therapeutic support for people with mental health problems and
A friendly face in the crowd: Reducing public speaking anxiety with an emotional support agent in the audience,https://dl.acm.org/doi/abs/10.1145/3472306.3478364,2021,We present Friendly Face - a virtual agent designed to reduce public speaking anxiety by   The agent senses the speaker's behavior during an oral presentation and provides emotional
Towards designing conversational agent systems,https://link.springer.com/chapter/10.1007/978-981-32-9515-5_51,2020,"which are used for language processing while designing conversational agent [13].  , we  can design a conversational agent with high complexity. Kerly et al. [4] a conversational agent is"
Swiftsage: A generative agent with fast and slow thinking for complex interactive tasks,https://proceedings.neurips.cc/paper_files/paper/2023/hash/4b0eea69deea512c9e2c469187643dc2-Abstract-Conference.html,2024,"Inspired by this, we aim to construct a generative agent that utilizes a small seq2seq LM  as System 1 for associative reasoning via behavior cloning while developing System 2 for"
A hybrid response generation model for an empathetic conversational agent,https://ieeexplore.ieee.org/abstract/document/9961311/,2022,"and generative models can be addressed. In this paper, we present VHope (Virtual Hope), a  conversational agent that acts as a mental health chatbot  flow and the generative model to"
"An overview of conversational agent: applications, challenges and future directions",https://opus.lib.uts.edu.au/bitstream/10453/153384/2/107086.pdf,2021,"A conversational agent or a chatbot is a smart program that simulates human language   of conversational agent applications, and the history of conversational agent development,"
"Sara, the lecturer: Improving learning in online education with a scaffolding-based conversational agent",https://dl.acm.org/doi/abs/10.1145/3313831.3376781,2020,"Conversational agents may alleviate this problem by  We developed Sara, a conversational  agent that appears during  , compared to more traditional conversational agents, significantly"
Paperqa: Retrieval-augmented generative agent for scientific research,https://arxiv.org/abs/2312.07559,2023,", a RAG agent for answering questions over the scientific literature. PaperQA is an agent  that  Viewing this agent as a question-answering model, we find it exceeds performance of"
Examining the association between emotional intelligence and chatbot utilization in education: A cross-sectional examination of undergraduate students in the UAE,https://www.cell.com/heliyon/fulltext/S2405-8440(24)07983-0,2024,"Background While Emotional Intelligence (EI) demonstrably affects academic success,  literature lacks exploration of how implementing chatbot in education might influence both"
Understanding and predicting user dissatisfaction in a neural generative chatbot,https://aclanthology.org/2021.sigdial-1.1/,2021,"By studying a neural generative model deployed in Chirpy Cardinal, an Alexa Prize chatbot,  we seek to provide the first in-depth  We use our chatbot’s real-life conversations as a source"
Chat generative pre-trained transformer: why we should embrace this technology,https://www.sciencedirect.com/science/article/pii/S0002937823001552,2023,Chat Generative Pre-trained Transformer is an artificial intelligence resource that has  This  clinical opinion demonstrates the potential uses of Chat Generative Pre-trained Transformer
Empathy-driven Arabic conversational chatbot,https://aclanthology.org/2020.wanlp-1.6/,2020,"To address these challenges, we create an Arabic conversational dataset that comprises   develop an empathetic chatbot for the Arabic language. An example of the desired chatbot with"
Query generation and buffer mechanism: Towards a better conversational agent for legal case retrieval,https://www.sciencedirect.com/science/article/pii/S030645732200156X,2022,when directly applying the conversational agent workflow in web  propose a suitable  conversational agent workflow in legal  can actually support conversational agents working more
Enhancing digital literacy with an intelligent conversational agent for senior citizens in Thailand,https://link.springer.com/article/10.1007/s10639-021-10862-z,2022,"The main objective of this research is to enhance the digital literacy skills with an intelligent  conversational agent, the “Senior See Net” chatbot, for senior citizens in Thailand. To"
CulturalERICA: A conversational agent improving the exploration of European cultural heritage,https://www.sciencedirect.com/science/article/pii/S1296207418308136,2020,"We consider that a synergy between conversational agents  Conversational Agent), an  intelligent conversational agent  base for this agent is the digital cultural library Europeana."
Can a humorous conversational agent enhance learning experience and outcomes?,https://dl.acm.org/doi/abs/10.1145/3411764.3445068,2021,"In this work, we examine the efects of a conversational agent’s  agent and attitudes towards  the task. Using a between-subjects protocol, 58 participants taught a conversational agent"
How do you converse with an analytical chatbot? revisiting gricean maxims for designing analytical conversational behavior,https://dl.acm.org/doi/abs/10.1145/3491102.3501972,2022,"We draw inspiration from an established set of best practices for identifying and implementing  cooperative chatbot behaviors [17, 33, 41, 59]. We identify the following conversational"
Mitigating boredom using an empathetic conversational agent,https://dl.acm.org/doi/abs/10.1145/3383652.3423905,2020,"Because we wish to imitate interactions with an intelligent agent inside a vehicle, a  conversational agent is best-fitted (as opposed to chatbots or avatar-based agents)."
Building culturally-valid dynamic facial expressions for a conversational virtual agent using human perception,https://dl.acm.org/doi/abs/10.1145/3383652.3423913,2020,"them onto a conversational virtual agent. For the first time, we equipped this conversational  virtual agent with culturally and psychologically valid conversational facial expressions with"
The acoustically emotion-aware conversational agent with speech emotion recognition and empathetic responses,https://ieeexplore.ieee.org/abstract/document/9888003/,2022,"Because this work studied users’ interaction with a conversational agent with emotion-related  content, ethical issues have been carefully addressed. Prior work [73] outlined the"
Deep learning based text emotion recognition for chatbot applications,https://ieeexplore.ieee.org/abstract/document/9142879/,2020,"emotion of a person from their speech, face gesture, body language and sign actions. Since  humans use many text devices to make interactions these days, emotion  with emotional"
Exploring young children's engagement in joint reading with a conversational agent,https://dl.acm.org/doi/abs/10.1145/3392063.3394417,2020,"Conversational agents (CAs) can potentially act as joint- incorporates components of effective  conversational guidance (ie of human conversational partners, we should treat child-agent"
Using AI to predict service agent stress from emotion patterns in service interactions,https://www.emerald.com/insight/content/doi/10.1108/JOSM-06-2019-0163/full/html,2021,The purpose of this paper is to introduce and describe a deep learning model to predict  in real-time service agent stress from emotion patterns in voice-to-voice service interactions.
Intent mining from past conversations for conversational agent,https://arxiv.org/abs/2005.11014,2020,Conversational systems are of primary interest in the AI community. Organizations are  increasingly using chatbot  can mine a vast amount of conversational logs and to generate labeled
Evaluating human-AI hybrid conversational systems with chatbot message suggestions,https://dl.acm.org/doi/abs/10.1145/3459637.3482340,2021,"We study a human-chatbot hybrid system design where we offer users chatbot  chatbot  suggestions to facilitate human agents providing information. Specifically, we evaluate if chatbot"
"Conversational agent-based guidance: examining the effect of chatbot usage frequency and satisfaction on visual design self-efficacy, engagement, satisfaction, and …",https://link.springer.com/article/10.1007/s10639-022-11149-7,2023,"chatbot was used as a tool, the intervention to guide learners via chatbot was called  conversational agent the effects of the use of conversational agent-based systems were reflected"
Text-Based emotion recognition in English and Polish for therapeutic chatbot,https://www.mdpi.com/2076-3417/11/21/10146,2021,"Since we aim to create a sentiment and emotion classifier for a chatbot working in Polish,  we faced the problem of lack of relevant dialogue datasets for the Polish language. As a cheap"
Use of an artificial intelligence conversational agent (chatbot) for hip arthroscopy patients following surgery,https://www.sciencedirect.com/science/article/pii/S2666061X23000238,2023,"The results of this study demonstrate that the use of a chatbot or conversational agent can  enhance the postoperative experience for hip arthroscopy patients, as demonstrated by high"
Understanding the impact of control levels over emotion-aware chatbots,https://www.sciencedirect.com/science/article/pii/S0747563221004453,2022,"chat with an emotion-aware chatbot that provided feedback on the team members’ emotions.  For the emotion-aware chatbot, we instantiated several control features in the form of a"
Voice assistant vs. Chatbot–examining the fit between conversational agents' interaction modalities and information search tasks,https://link.springer.com/article/10.1007/s10796-021-10226-5,2022,"of speech- and text-based conversational interaction to different information search task types.   Thereby, our study extends cognitive fit theory to conversational information requests and"
Tell me about yourself: Using an AI-powered chatbot to conduct conversational surveys with open-ended questions,https://dl.acm.org/doi/abs/10.1145/3381804,2020,"We hypothesize that the Juji chatbot’s conversational capabilities would encourage  participant engagement and improve the quality of their responses along several aspects. First,"
"Same benefits, different communication patterns: Comparing Children's reading with a conversational agent vs. a human partner",https://www.sciencedirect.com/science/article/pii/S0360131520302578,2021,conversational agents to support children's language development. This study examined how  an automated conversational agent can  with a conversational agent versus an adult. The
A conversational agent to improve response quality in course evaluations,https://dl.acm.org/doi/abs/10.1145/3334480.3382805,2020,human-computer interaction with conversational interfaces. We  we design an NLPbased  conversational agent and deploy it in  Our findings indicate that using conversational agents for
The chatbot usability scale: the design and pilot of a usability scale for interaction with AI-based conversational agents,https://link.springer.com/article/10.1007/s00779-021-01582-9,2022,of the chatbot by saying that it is vital that from the conversational point of view that a ‘chatbot   The other designer suggested that it is crucial that a conversational agent was set up and
CARO: an empathetic health conversational chatbot for people with major depression,https://dl.acm.org/doi/abs/10.1145/3371158.3371220,2020,"Conversational applications such as chatbots have been  We propose CARO, a chatbot  app, which is capable of performing  CARO will be able to sense the conversational context, its"
Maria: A visual experience powered conversational agent,https://arxiv.org/abs/2105.13073,2021,"Specifically, we present Maria, a neural conversation agent  Thus, empowering conversational  agents to have the visual  Specifically, we present Maria, a neural conversational agent"
SecBot: a business-driven conversational agent for cybersecurity planning and management,https://ieeexplore.ieee.org/abstract/document/9269037/,2020,[33] presents a generic chatbot model to answer customer  data to provide personal assistants’  emotional connection. Other relevant  [18] proposed a conversational agent to address the
A conversational agent for creating flexible daily automation,https://dl.acm.org/doi/abs/10.1145/3531073.3531090,2022,"This paper presents RuleBot, a conversational agent that uses machine learning and natural  language processing techniques to allow end users to create automations according to a"
Can a funny chatbot make a difference? Infusing humor into conversational agent for behavioral intervention,https://dl.acm.org/doi/abs/10.1145/3640794.3665555,2024,impact of the generative humorous communication style in a 10-day chatbot-delivered  intervention  These findings clarify the role of humorous communication style in chatbot-delivered
Conversational agent interventions for mental health problems: systematic review and meta-analysis of randomized controlled trials,https://www.jmir.org/2023/1/e43862/,2023,conversational agent intervention. ‎ Figure 3. Forest plot for the short-term effects of  conversational agent  Forest plot for the short-term effects of conversational agent interventions on
Wireless multi-agent generative ai: From connected intelligence to collective intelligence,https://arxiv.org/abs/2307.02757,2023,"AI systems at the network level and the agent level, and we identify  agent generative AI  networks, we highlight the benefits that can be achieved when implementing wireless generative"
Empathy is all you need: How a conversational agent should respond to verbal abuse,https://dl.acm.org/doi/abs/10.1145/3313831.3376461,2020,"style of a conversational agent with the  of conversational agents needs to be studied in  spoken, voice-based environments. In this paper, we seek to answer how a conversational agent"
Designing pairbuddy—a conversational agent for pair programming,https://dl.acm.org/doi/abs/10.1145/3498326,2022,conversational agents exist for computer programming tasks.  the anthropomorphic interactions  of conversational agents to  ”—an anthropomorphic conversational agent and interactive
Dialogue with a conversational agent promotes children's story comprehension via enhancing engagement,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdev.13708,2022,"With the development of artificial intelligence, conversational agents can engage children  in elements of dialogic reading. This study examined whether a conversational agent can"
Modeling bilingual conversational characteristics for neural chat translation,https://arxiv.org/abs/2107.11164,2021,"model bilingual conversational characteristics through tailored latent variables for neural chat   In the future, we would like to explore the effect of multimodality and emotion on chat trans"
An empathetic conversational agent with attentional mechanism,https://ieeexplore.ieee.org/abstract/document/9402337/,2021,"In this study, we have presented two conversational agent models that indulge in a  friendly and positive interaction with the users and generate empathetic responses. Both our"
Chatbot vs. Human: The impact of responsive conversational features on users' responses to chat advisors,https://search.informit.org/doi/abs/10.3316/informit.T2024122600000401566616083,2024,"(eg, when the user perceives a conversational agent as better than expected). In  agent  than they received (Burgoon & Hale, 1988). By telling users they are about to chat with a chatbot"
Think twice: A human-like two-stage conversational agent for emotional response generation,https://arxiv.org/abs/2301.04907,2023,"and semantics, and requires the rare large-scale emotion-annotated  conversational agent  for the generation of emotional dialogue. Firstly, a dialogue model trained without the emotion-"
Conversational agent for healthy lifestyle behavior change: web-based feasibility study,https://formative.jmir.org/2021/12/e27956/,2021,"of using a conversational agent promoting healthy lifestyle  The Facebook Messenger  conversational agent was used to  with, and usability of, the conversational agent. In addition, we"
Controlling the risk of conversational search via reinforcement learning,https://dl.acm.org/doi/abs/10.1145/3442381.3449893,2021,"of the proposed conversational search agent, we build a conversational search  To control  and balance such risks, we propose a risk-aware conversational agent which make decisions"
House-gan++: Generative adversarial layout refinement network towards intelligent computational agent for professional architects,http://openaccess.thecvf.com/content/CVPR2021/html/Nauata_House-GAN_Generative_Adversarial_Layout_Refinement_Network_towards_Intelligent_Computational_Agent_CVPR_2021_paper.html,2021,This paper proposes a generative adversarial layout refinement network for automated floorplan  generation. Our architecture is an integration of a graph-constrained relational GAN and
Dissecting the mixed effects of human-customer service chatbot interaction on customer satisfaction: An explanation from temporal and conversational cues,https://www.sciencedirect.com/science/article/pii/S0969698923001649,2023,"in the fields of temporal cues, conversational cues, and  and conversational cues. In addition,  we improve the theoretical framework for research related to temporal and conversational"
The ERMES chatbot: A conversational communication tool for improved emergency management and disaster risk reduction,https://www.sciencedirect.com/science/article/pii/S2212420924005545,2024,", ie, the ERMES Chatbot: a mobile-based conversational communication system developed  to  The methodology used to create the ERMES Chatbot is grounded on the user-centred"
Conversational agent research toolkit: an alternative for creating and managing chatbots for experimental research,https://www.aup-online.com/content/journals/10.5117/CCR2020.1.002.ARAU,2020,"conversational agent can randomly assign participants to different conditions. The agent   regarding what the conversational agent says to the participant, how the agent says it, or the"
What affects the usage of artificial conversational agents? An agent personality and love theory perspective,https://www.sciencedirect.com/science/article/pii/S0747563223001395,2023,"conversational (CAI) agents have been growing in popularity. Like human personality, CAI  agent  systematic approach for generating CAI agent personality descriptors. 235 unique"
Integrating a conversational pedagogical agent into the instructional activities of a Massive Open Online Course,https://www.sciencedirect.com/science/article/pii/B978012823410500005X,2021,"The current conversational agent applications on MOOC  However, conversational agents  can also be used to assist  present the integration of a conversational agent embedded in the"
Conversational marketing as a framework for interaction with the customer: Development & validation of the conversational agent's usage scale,https://www.ceeol.com/search/article-detail?id=1026424,2021,"Because the research object of the work is a text-based conversational agent, voice-based  conversational agents (eg Siri) and general AI (capable of performing some kind of human"
GPTQuant's Conversational AI: Simplifying Investment Research for All,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4380516,2023,"This paper presents GPTQuant, a conversational AI chatbot for developing and evaluating   the chatbot and compare its performance with Open AI's ChatGPT. We highlight the chatbot's"
Emotion-infused deep neural network for emotionally resonant conversation,https://www.sciencedirect.com/science/article/pii/S1568494621007833,2021,fine emotion difference between words in order to better understand the sentential emotion.   model can greatly improve the efficiency and usability of a conversational chatbot system.
A review of ai-driven conversational chatbots implementation methodologies and challenges (1999–2022),https://www.mdpi.com/2071-1050/15/5/4012,2023,A conversational chatbot or dialogue system is a computer program designed to simulate   in the field of chatbot applications. One of the main benefits of conversational chatbots is their
Daisy: a friendly conversational agent for older adults,https://dl.acm.org/doi/abs/10.1145/3405755.3406166,2020,"We present Daisy, a voice-controlled conversational agent embodied as a household potted   This paper describes Daisy, our experiences designing conversational agents for older"
ChatbotSQL: Conversational agent to support relational database query language learning,https://www.sciencedirect.com/science/article/pii/S2352711023000420,2023,"This article introduces ChatbotSQL, a conversational agent that aims to support the autonomous  learning of the SQL language for database querying. ChatbotSQL proposes exercises"
Conversational chatbot for cigarette smoking cessation: results from the 11-step user-centered design development process and randomized controlled trial,https://mhealth.jmir.org/2024/1/e57318,2024,"Finally, we mapped out the natural conversational flow of both the chatbot and the range of   to the chatbot. The entity extraction, intent classifications, and conversational mapping were"
Adaptable agent populations via a generative model of policies,https://proceedings.neurips.cc/paper_files/paper/2021/hash/1fc8c3d03b0021478a8c9ebdcd457c67-Abstract.html,2021,"To this end, we introduce a generative model of policies for reinforcement learning, which   to an agent policy space. Our method enables learning an entire population of agent policies,"
Using a pedagogical agent to deliver conversational style instruction: What benefits can you obtain?,https://www.sciencedirect.com/science/article/pii/S0360131519302118,2020,agent was more interesting than learning without a pedagogical agent; (b) learning from a  lesson written in a conversational  pedagogical agent delivering instruction in a conversational
